VendorID,VendorName,ServiceType,Country,RiskImpact,RiskLikelihood,OpenVulnerabilities,IncidentHistory,ISO27001_Compliance,NIST_CSF_Adoption,OverallRiskScore,Is_AI_Vendor,OWASP_LLM_Check,BreachLikelihoodScore
1,Vendor_001,Cloud Services,Germany,4,2,25,2,Non-Compliant,Medium,8,FALSE,N/A,62
2,Vendor_002,AI Model Provider,Canada,5,4,39,0,Non-Compliant,Medium,20,TRUE,Insecure Output: Vulnerable,39
3,Vendor_003,SaaS Platform,Canada,2,5,16,2,Partially Compliant,Medium,10,FALSE,N/A,48
4,Vendor_004,Cloud Services,Canada,5,3,49,2,Compliant,Medium,15,FALSE,N/A,54
5,Vendor_005,AI Model Provider,USA,1,4,15,3,Non-Compliant,Low,4,TRUE,Data Leakage: Mitigated,72
6,Vendor_006,SaaS Platform,UK,4,3,9,2,Partially Compliant,Medium,12,FALSE,N/A,44
7,Vendor_007,Consulting,Canada,3,1,36,4,Compliant,High,3,FALSE,N/A,78
8,Vendor_008,Cloud Services,UK,4,3,37,2,Compliant,High,12,FALSE,N/A,48
9,Vendor_009,AI Model Provider,UK,3,2,49,1,Non-Compliant,Medium,6,TRUE,Data Leakage: Vulnerable,59
10,Vendor_010,Data Processor,India,4,1,1,4,Partially Compliant,Medium,4,FALSE,N/A,70
11,Vendor_011,AI Model Provider,Singapore,3,4,33,0,Compliant,Low,12,TRUE,Data Leakage: Mitigated,16
12,Vendor_012,AI Model Provider,Singapore,1,5,19,1,Compliant,Low,5,TRUE,Insecure Output: Vulnerable,24
13,Vendor_013,Consulting,Ghana,3,3,29,0,Compliant,Low,9,FALSE,N/A,14
14,Vendor_014,SaaS Platform,Canada,4,2,3,2,Non-Compliant,High,8,FALSE,N/A,51
15,Vendor_015,Managed IT,Canada,2,2,31,0,Compliant,Medium,4,FALSE,N/A,15
16,Vendor_016,AI Model Provider,Canada,4,5,40,4,Compliant,Low,20,TRUE,Data Leakage: Mitigated,80
17,Vendor_017,SaaS Platform,UK,3,4,19,0,Compliant,Low,12,FALSE,N/A,9
18,Vendor_018,AI Model Provider,USA,2,4,11,0,Partially Compliant,High,8,TRUE,Model Theft: Vulnerable,15
19,Vendor_019,AI Model Provider,India,4,2,49,2,Partially Compliant,High,8,TRUE,Model Theft: Mitigated,64
20,Vendor_020,Cloud Services,USA,5,2,26,0,Partially Compliant,High,10,FALSE,N/A,23
21,Vendor_021,SaaS Platform,UK,5,5,17,3,Partially Compliant,Medium,25,FALSE,N/A,63
22,Vendor_022,Cloud Services,Singapore,5,4,9,4,Non-Compliant,Low,20,FALSE,N/A,84
